Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-05-02T00:00+02:00;2022-05-01;1;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-05-02T00:00+02:00;2022-05-01;2;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-05-02T00:00+02:00;2022-05-01;Totalt i retning Nova;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-05-02T00:00+02:00;2022-05-01;Totalt i retning Pyramiden;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-05-02T00:00+02:00;2022-05-01;Totalt;12;100,0;24;24;0;12;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-02T00:00+02:00;2022-05-03T00:00+02:00;2022-05-02;1;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-02T00:00+02:00;2022-05-03T00:00+02:00;2022-05-02;2;15;100,0;24;24;0;15;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-02T00:00+02:00;2022-05-03T00:00+02:00;2022-05-02;Totalt i retning Nova;15;100,0;24;24;0;15;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-02T00:00+02:00;2022-05-03T00:00+02:00;2022-05-02;Totalt i retning Pyramiden;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-02T00:00+02:00;2022-05-03T00:00+02:00;2022-05-02;Totalt;31;100,0;24;24;0;31;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-03T00:00+02:00;2022-05-04T00:00+02:00;2022-05-03;1;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-03T00:00+02:00;2022-05-04T00:00+02:00;2022-05-03;2;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-03T00:00+02:00;2022-05-04T00:00+02:00;2022-05-03;Totalt i retning Nova;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-03T00:00+02:00;2022-05-04T00:00+02:00;2022-05-03;Totalt i retning Pyramiden;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
