Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;22;17;27;100,0;31;31;0;22;0,0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;15;12;18;100,0;31;31;0;15;0,0;2;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;15;12;18;100,0;31;31;0;15;0,0;Totalt i retning Nova;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;22;17;27;100,0;31;31;0;22;0,0;Totalt i retning Pyramiden;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;37;29;45;100,0;31;31;0;37;0,0;Totalt;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;31;25;37;100,0;28;28;0;31;0,0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;20;16;24;100,0;28;28;0;20;0,0;2;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;20;16;24;100,0;28;28;0;20;0,0;Totalt i retning Nova;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;31;25;37;100,0;28;28;0;31;0,0;Totalt i retning Pyramiden;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;52;43;61;100,0;28;28;0;52;0,0;Totalt;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;29;24;34;100,0;31;31;0;29;0,0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;19;16;22;100,0;31;31;0;19;0,0;2;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;19;16;22;100,0;31;31;0;19;0,0;Totalt i retning Nova;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;29;24;34;100,0;31;31;0;29;0,0;Totalt i retning Pyramiden;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;48;41;55;100,0;31;31;0;48;0,0;Totalt;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;33;24;42;100,0;30;30;0;33;0,0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;22;16;28;100,0;30;30;0;22;0,0;2;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;22;16;28;100,0;30;30;0;22;0,0;Totalt i retning Nova;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;33;24;42;100,0;30;30;0;33;0,0;Totalt i retning Pyramiden;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;54;39;69;100,0;30;30;0;54;0,0;Totalt;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;67;50;84;100,0;31;31;0;67;0,0;1;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;48;36;60;100,0;31;31;0;48;0,0;2;-;-;-;-;-;-;-;-
