Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;1425;1184;1666;100,0;31;31;0;7;99,5;1;1066;352;53;38;214;47;46;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;1553;1279;1827;100,0;31;31;0;10;99,4;2;1191;353;27;70;220;36;35;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;1553;1279;1827;100,0;31;31;0;10;99,4;Totalt i retning UNN;1190;353;27;70;220;36;35;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;1425;1185;1665;100,0;31;31;0;7;99,5;Totalt i retning Planetariet;1066;352;53;38;213;47;46;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;2978;2464;3492;100,0;31;31;0;17;99,4;Totalt;2256;704;80;108;433;83;81;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;1716;1433;1999;100,0;28;28;0;12;99,3;1;1328;376;65;40;219;53;51;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;1851;1535;2167;100,0;28;28;0;15;99,2;2;1478;359;24;71;228;36;35;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;1852;1536;2168;100,0;28;28;0;15;99,2;Totalt i retning UNN;1478;359;24;71;228;36;35;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;1715;1432;1998;100,0;28;28;0;11;99,4;Totalt i retning Planetariet;1328;376;64;40;219;53;51;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;3566;2967;4165;100,0;28;28;0;26;99,3;Totalt;2806;734;88;112;447;88;85;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;1835;1563;2107;100,0;31;31;0;14;99,2;1;1424;397;82;36;220;60;58;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;1946;1647;2245;100,0;31;31;0;22;98,9;2;1555;369;29;63;236;41;39;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;1946;1647;2245;100,0;31;31;0;22;98,9;Totalt i retning UNN;1556;369;29;63;236;41;39;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;1835;1564;2106;100,0;31;31;0;14;99,2;Totalt i retning Planetariet;1424;397;81;36;220;60;58;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;3781;3211;4351;100,0;31;31;0;36;99,0;Totalt;2979;766;110;99;456;101;97;4
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;1476;1172;1780;100,0;30;30;0;10;99,3;1;1131;334;61;27;192;54;53;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;1586;1251;1921;100,0;30;30;0;15;99,1;2;1251;320;22;43;217;37;36;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;1586;1251;1921;100,0;30;30;0;15;99,1;Totalt i retning UNN;1251;320;22;43;217;37;36;1
